PAFTA NO;PAFTA ADI;TARİH / DATE;ÖLÇEK;BOYUT;YÜKLENİCİ;ALT YÜK. ;PROJE KODU;ALAN;ALT ALAN;SİSTEM;ALT SİSTEM;DİL;DÖK. TİPİ;DÖK. NO;REVİZYON
TAHTAKALE İSTASYONU;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
M7U-KP-A-06-0001;TAHTAKALE İSTASYONU VAZİYET PLANI;7.05.2023;1/500;10;IC;TKN;26;44;69;82;63;67;54;46;A
M7U-KP-A-06-0002;TAHTAKALE İSTASYONU YOL KOTU PLANI;7.05.2023;1/200;11;IC;TKN;82;46;56;83;87;29;42;14;A
M7U-KP-A-06-0003;TAHTAKALE İSTASYONU +11.18 PERON KATI PLANI;7.05.2023;1/100;12;IC;TKN;14;15;38;70;96;96;60;3;A
M7U-KP-A-06-0004;TAHTAKALE İSTASYONU PERON KONKORS BAĞL. PLAN KESİTİ;7.05.2023;1/200;13;IC;TKN;38;30;18;97;60;29;60;8;A
M7U-KP-A-06-1001;TAHTAKALE İSTASYONU +24.20 KONKORS KATI PLANI;7.05.2023;1/100;14;IC;TKN;13;9;56;47;38;73;64;10;A
M7U-KP-A-06-1002;TAHTAKALE İSTASYONU +30.15 TEKNİK KAT PLANI, TVF PLANI VE TVF A-A. B-B KESİTLERİ;7.05.2023;1/100;15;IC;TKN;59;47;24;97;17;69;36;88;A
M7U-KP-A-06-1003;TAHTAKALE İSTASYONU A-A KESİTİ;7.05.2023;1/100;16;IC;TKN;16;95;99;48;41;45;11;49;A
M7U-KP-A-06-1004;TAHTAKALE İSTASYONU B-B. C-C, D-D. E-E KESİTİ;7.05.2023;1/100;17;IC;TKN;57;21;0;15;47;43;41;53;A
M7U-KP-A-06-1005;TAHTAKALE İSTASYONU F-F KESİTİ;7.05.2023;1/100;18;IC;TKN;26;52;12;24;4;73;60;7;A
M7U-KP-A-06-1006;TAHTAKALE İSTASYONU ASMA TAVAN PLANLARI;7.05.2023;1/100;19;IC;TKN;76;26;34;52;98;20;61;9;A
M7U-KP-A-06-1007;TAHTAKALE İSTASYONU GİRİŞ KAPISI PLANI VE KESİTLERİ;7.05.2023;1/100;20;IC;TKN;48;15;22;19;1;16;34;11;A
ISPARTAKULE İSTASYONU;;;;;;;;;;;;;;;
M7U-KP-A-07-0001;ISPARTAKULE İSTASYONU VAZİYET PLANI;7.05.2023;1/500;10;IC;TKN;96;57;11;6;61;5;78;60;A
M7U-KP-A-07-0002;ISPARTAKULE İSTASYONU YOL KOTU PLANI;7.05.2023;1/200;10;IC;TKN;92;76;17;95;78;98;49;53;A
M7U-KP-A-07-0003;ISPARTAKULE İSTASYONU +37.37 PERON KATI PLANI;7.05.2023;1/100;10;IC;TKN;79;40;33;40;25;45;49;33;A
M7U-KP-A-07-0004;ISPARTAKULE İSTASYONU KONKORS - PERON BAĞLANTISI PLAN VE KESİTLERİ;7.05.2023;1/200;10;IC;TKN;45;76;31;0;3;68;79;36;A
M7U-KP-A-07-1001;ISPARTAKULE İSTASYONU +49.00 KONKORS KAT PLANI;7.05.2023;1/100;10;IC;TKN;14;62;20;26;16;10;58;63;A
M7U-KP-A-07-1002;ISPARTAKULE İSTASYONU +54.00 TEKNİK KAT PLANI;7.05.2023;1/100;10;IC;TKN;34;14;29;1;56;29;0;63;A
M7U-KP-A-07-1003;ISPARTAKULE İSTASYONU A-A KESİTİ;7.05.2023;1/100;10;IC;TKN;80;91;15;11;73;6;52;48;A
M7U-KP-A-07-1004;ISPARTAKULE İSTASYONU B-B KESİTİ;7.05.2023;1/100;10;IC;TKN;40;48;95;64;98;49;14;28;A
M7U-KP-A-07-1005;ISPARTAKULE İSTASYONU C-C KESİTİ / ASMA TAVAN PLANI;7.05.2023;1/100;10;IC;TKN;24;20;26;83;89;49;27;62;A
M7U-KP-A-07-1006;ISPARTAKULE İSTASYONU G1 İSTASYON GİRİŞİ;7.05.2023;1/100;10;IC;TKN;2;25;67;78;14;13;1;99;A
M7U-KP-A-07-1007;ISPARTAKULE İSTASYONU G2 İSTASYON GİRİŞİ;7.05.2023;1/100;10;IC;TKN;24;46;38;42;22;74;3;16;A
BAHÇEŞEHİR İSTASYONU;;;;;;;;;;;;;;;
M7U-KP-A-08-0001;BAHÇEŞEHİR İSTASYONU VAZİYET PLANI;7.05.2023;1/500;10;IC;TKN;50;22;94;7;0;65;81;69;A
M7U-KP-A-08-0002;BAHÇEŞEHİR İSTASYONU YOL KOTU PLANI;7.05.2023;1/200;10;IC;TKN;11;14;33;11;55;53;91;30;A
M7U-KP-A-08-0003;BAHÇEŞEHİR İSTASYONU +64.68 PERON KATI PLANI;7.05.2023;1/100;10;IC;TKN;67;56;24;0;61;13;59;31;A
M7U-KP-A-08-0004;BAHÇEŞEHİR İSTASYONU PERON KONKORS BAĞL. PLAN KESİTİ;7.05.2023;1/200;10;IC;TKN;37;76;77;45;45;90;74;88;A
M7U-KP-A-08-1001;BAHÇEŞEHİR İSTASYONU KONKORS TEKNİK KAT PLANI;7.05.2023;1/100;10;IC;TKN;75;66;61;81;77;22;12;89;A
M7U-KP-A-08-1002;BAHÇEŞEHİR İSTASYONU A-A KESİTİ;7.05.2023;1/100;10;IC;TKN;79;45;28;38;88;77;2;42;A
M7U-KP-A-08-1003;BAHÇEŞEHİR İSTASYONU B-B, C-C, D-D, E-E KESİTLERİ;7.05.2023;1/100;10;IC;TKN;73;76;40;90;14;47;34;38;A
M7U-KP-A-08-1004;BAHÇEŞEHİR İSTASYONU ASMA TAVAN PLANLARI;7.05.2023;1/100;10;IC;TKN;7;55;88;72;33;78;56;35;A
M7U-KP-A-08-2001;BAHÇEŞEHİR İSTASYONU TVF VE GİRİŞ YAPISI PLANI;7.05.2023;1/100;10;IC;TKN;11;62;97;54;47;12;29;13;A
M7U-KP-A-08-2002;BAHÇEŞEHİR İSTASYONU F-F, G-G, H-H KESİTLERİ;7.05.2023;1/100;10;IC;TKN;8;21;68;93;37;3;36;85;A
ESENKENT İSTASYONU;;;;;;;;;;;;;;;
M7U-KP-A-09-0001;ESENKENT İSTASYONU VAZİYET PLANI;7.05.2023;1/750;12;IC;TKN;14;50;12;100;55;80;77;16;A
